Wavelength(A);Intensity_in_channels
-798.782104;0.000000
-793.263104;0.000000
-787.744104;0.000000
-782.225104;0.000000
-776.706104;0.000000
-771.187104;0.000000
-765.668104;0.000000
-760.149104;0.000000
-754.630104;0.000000
-749.111104;0.000000
-743.592104;0.000000
-738.073104;0.000000
-732.554104;0.000000
-727.035104;0.000000
-721.516104;0.000000
-715.997104;0.000000
-710.478104;0.000000
-704.959104;0.000000
-699.440104;0.000000
-693.921104;0.000000
-688.402104;0.000000
-682.883104;0.000000
-677.364104;0.000000
-671.845104;0.000000
-666.326104;0.000000
-660.807104;0.000000
-655.288104;0.000000
-649.769104;0.000000
-644.250104;0.000000
-638.731104;0.000000
-633.212104;0.000000
-627.693104;0.000000
-622.174104;0.000000
-616.655104;0.000000
-611.136104;0.000000
-605.617104;0.000000
-600.098104;0.000000
-594.579104;0.000000
-589.060104;0.000000
-583.541104;0.000000
-578.022104;0.000000
-572.503104;0.000000
-566.984104;0.000000
-561.465104;0.000000
-555.946104;0.000000
-550.427104;0.000000
-544.908104;0.000000
-539.389104;0.000000
-533.870104;0.000000
-528.351104;0.000000
-522.832104;0.000000
-517.313104;0.000000
-511.794104;0.000000
-506.275104;0.000000
-500.756104;0.000000
-495.237104;0.000000
-489.718104;0.000000
-484.199104;0.000000
-478.680104;0.000000
-473.161104;0.000000
-467.642104;0.000000
-462.123104;0.000000
-456.604104;0.000000
-451.085104;0.000000
-445.566104;0.000000
-440.047104;0.000000
-434.528104;0.000000
-429.009104;0.000000
-423.490104;0.000000
-417.971104;0.000000
-412.452104;0.000000
-406.933104;0.000000
-401.414104;0.000000
-395.895104;0.000000
-390.376104;0.000000
-384.857104;0.000000
-379.338104;0.000000
-373.819104;0.000000
-368.300104;0.000000
-362.781104;0.000000
-357.262104;0.000000
-351.743104;0.000000
-346.224104;0.000000
-340.705104;0.000000
-335.186104;0.000000
-329.667104;0.000000
-324.148104;0.000000
-318.629104;0.000000
-313.110104;0.000000
-307.591104;0.000000
-302.072104;0.000000
-296.553104;0.000000
-291.034104;0.000000
-285.515104;0.000000
-279.996104;0.000000
-274.477104;0.000000
-268.958104;0.000000
-263.439104;0.000000
-257.920104;0.000000
-252.401104;0.000000
-246.882104;0.000000
-241.363104;0.000000
-235.844104;0.000000
-230.325104;0.000000
-224.806104;0.000000
-219.287104;0.000000
-213.768104;0.000000
-208.249104;0.000000
-202.730104;0.000000
-197.211104;0.000000
-191.692104;0.000000
-186.173104;0.000000
-180.654104;0.000000
-175.135104;0.000000
-169.616104;0.000000
-164.097104;0.000000
-158.578104;0.000000
-153.059104;0.000000
-147.540104;0.000000
-142.021104;0.000000
-136.502104;0.000000
-130.983104;0.000000
-125.464104;0.000000
-119.945104;0.000000
-114.426104;0.000000
-108.907104;0.000000
-103.388104;0.000000
-97.869104;0.000000
-92.350104;2.000000
-86.831104;5.000000
-81.312104;6.000000
-75.793104;10.000000
-70.274104;16.000000
-64.755104;20.000000
-59.236104;21.000000
-53.717104;26.000000
-48.198104;36.000000
-42.679104;53.000000
-37.160104;85.000000
-31.641104;178.000000
-26.122104;407.000000
-20.603104;795.000000
-15.084104;1283.000000
-9.565104;1685.000000
-4.046104;1909.000000
1.472896;1966.000000
6.991896;1851.000000
12.510896;1534.000000
18.029896;1023.000000
23.548896;518.000000
29.067896;203.000000
34.586896;93.000000
40.105896;55.000000
45.624896;37.000000
51.143896;28.000000
56.662896;23.000000
62.181896;21.000000
67.700896;19.000000
73.219896;15.000000
78.738896;9.000000
84.257896;7.000000
89.776896;4.000000
95.295896;1.000000
100.814896;0.000000
106.333896;0.000000
111.852896;0.000000
117.371896;0.000000
122.890896;0.000000
128.409896;0.000000
133.928896;0.000000
139.447896;0.000000
144.966896;0.000000
150.485896;0.000000
156.004896;0.000000
161.523896;0.000000
167.042896;0.000000
172.561896;0.000000
178.080896;0.000000
183.599896;0.000000
189.118896;0.000000
194.637896;0.000000
200.156896;0.000000
205.675896;0.000000
211.194896;0.000000
216.713896;0.000000
222.232896;0.000000
227.751896;0.000000
233.270896;0.000000
238.789896;0.000000
244.308896;0.000000
249.827896;0.000000
255.346896;0.000000
260.865896;0.000000
266.384896;0.000000
271.903896;0.000000
277.422896;0.000000
282.941896;0.000000
288.460896;0.000000
293.979896;0.000000
299.498896;0.000000
305.017896;0.000000
310.536896;0.000000
316.055896;0.000000
321.574896;0.000000
327.093896;0.000000
332.612896;0.000000
338.131896;0.000000
343.650896;0.000000
349.169896;0.000000
354.688896;0.000000
360.207896;0.000000
365.726896;0.000000
371.245896;0.000000
376.764896;0.000000
382.283896;0.000000
387.802896;0.000000
393.321896;0.000000
398.840896;0.000000
404.359896;0.000000
409.878896;0.000000
415.397896;0.000000
420.916896;0.000000
426.435896;0.000000
431.954896;0.000000
437.473896;0.000000
442.992896;0.000000
448.511896;0.000000
454.030896;0.000000
459.549896;0.000000
465.068896;0.000000
470.587896;0.000000
476.106896;0.000000
481.625896;0.000000
487.144896;0.000000
492.663896;0.000000
498.182896;0.000000
503.701896;0.000000
509.220896;0.000000
514.739896;0.000000
520.258896;0.000000
525.777896;0.000000
531.296896;0.000000
536.815896;0.000000
542.334896;0.000000
547.853896;0.000000
553.372896;0.000000
558.891896;0.000000
564.410896;0.000000
569.929896;0.000000
575.448896;0.000000
580.967896;0.000000
586.486896;0.000000
592.005896;0.000000
597.524896;0.000000
603.043896;0.000000
608.562896;0.000000
614.081896;0.000000
619.600896;0.000000
625.119896;0.000000
630.638896;0.000000
636.157896;0.000000
641.676896;0.000000
647.195896;0.000000
652.714896;0.000000
658.233896;0.000000
663.752896;0.000000
669.271896;0.000000
674.790896;0.000000
680.309896;0.000000
685.828896;0.000000
691.347896;0.000000
696.866896;0.000000
702.385896;0.000000
707.904896;0.000000
713.423896;0.000000
718.942896;0.000000
724.461896;0.000000
729.980896;0.000000
735.499896;0.000000
741.018896;0.000000
746.537896;0.000000
752.056896;0.000000
757.575896;0.000000
763.094896;0.000000
768.613896;0.000000
774.132896;0.000000
779.651896;0.000000
785.170896;0.000000
790.689896;0.000000
796.208896;0.000000
801.727896;0.000000
807.246896;0.000000
812.765896;0.000000
818.284896;0.000000
823.803896;0.000000
829.322896;0.000000
834.841896;0.000000
840.360896;0.000000
845.879896;0.000000
851.398896;0.000000
856.917896;0.000000
862.436896;0.000000
867.955896;0.000000
873.474896;0.000000
878.993896;0.000000
884.512896;0.000000
890.031896;0.000000
895.550896;0.000000
901.069896;0.000000
906.588896;0.000000
912.107896;0.000000
917.626896;0.000000
923.145896;0.000000
928.664896;0.000000
934.183896;0.000000
939.702896;0.000000
945.221896;0.000000
950.740896;0.000000
956.259896;0.000000
961.778896;0.000000
967.297896;0.000000
972.816896;0.000000
978.335896;0.000000
983.854896;0.000000
989.373896;0.000000
994.892896;0.000000
1000.411896;0.000000
1005.930896;0.000000
1011.449896;0.000000
1016.968896;0.000000
1022.487896;0.000000
1028.006896;0.000000
1033.525896;0.000000
1039.044896;0.000000
1044.563896;0.000000
1050.082896;0.000000
1055.601896;0.000000
1061.120896;0.000000
1066.639896;0.000000
1072.158896;0.000000
1077.677896;0.000000
1083.196896;0.000000
1088.715896;0.000000
1094.234896;0.000000
1099.753896;0.000000
1105.272896;0.000000
1110.791896;0.000000
1116.310896;0.000000
1121.829896;0.000000
1127.348896;0.000000
1132.867896;0.000000
1138.386896;0.000000
1143.905896;0.000000
1149.424896;0.000000
1154.943896;0.000000
1160.462896;0.000000
1165.981896;0.000000
1171.500896;0.000000
1177.019896;0.000000
1182.538896;0.000000
1188.057896;0.000000
1193.576896;0.000000
1199.095896;0.000000
1204.614896;0.000000
1210.133896;0.000000
1215.652896;0.000000
1221.171896;0.000000
1226.690896;0.000000
1232.209896;0.000000
1237.728896;0.000000
1243.247896;0.000000
1248.766896;0.000000
1254.285896;0.000000
1259.804896;0.000000
1265.323896;0.000000
1270.842896;0.000000
1276.361896;0.000000
1281.880896;0.000000
1287.399896;0.000000
1292.918896;0.000000
1298.437896;0.000000
1303.956896;0.000000
1309.475896;0.000000
1314.994896;0.000000
1320.513896;0.000000
1326.032896;0.000000
1331.551896;0.000000
1337.070896;0.000000
1342.589896;0.000000
1348.108896;0.000000
1353.627896;0.000000
1359.146896;0.000000
1364.665896;0.000000
1370.184896;0.000000
1375.703896;0.000000
1381.222896;0.000000
1386.741896;0.000000
1392.260896;0.000000
1397.779896;0.000000
1403.298896;0.000000
1408.817896;0.000000
1414.336896;0.000000
1419.855896;0.000000
1425.374896;0.000000
1430.893896;0.000000
1436.412896;0.000000
1441.931896;0.000000
1447.450896;0.000000
1452.969896;0.000000
1458.488896;0.000000
1464.007896;0.000000
1469.526896;0.000000
1475.045896;0.000000
1480.564896;0.000000
1486.083896;0.000000
1491.602896;0.000000
1497.121896;0.000000
1502.640896;0.000000
1508.159896;0.000000
1513.678896;0.000000
1519.197896;0.000000
1524.716896;0.000000
1530.235896;0.000000
1535.754896;0.000000
1541.273896;0.000000
1546.792896;0.000000
1552.311896;0.000000
1557.830896;0.000000
1563.349896;0.000000
1568.868896;0.000000
1574.387896;0.000000
1579.906896;0.000000
1585.425896;0.000000
1590.944896;0.000000
1596.463896;0.000000
1601.982896;0.000000
1607.501896;0.000000
1613.020896;0.000000
1618.539896;0.000000
1624.058896;0.000000
1629.577896;0.000000
1635.096896;0.000000
1640.615896;0.000000
1646.134896;0.000000
1651.653896;0.000000
1657.172896;0.000000
1662.691896;0.000000
1668.210896;0.000000
1673.729896;0.000000
1679.248896;0.000000
1684.767896;0.000000
1690.286896;0.000000
1695.805896;0.000000
1701.324896;0.000000
1706.843896;0.000000
1712.362896;0.000000
1717.881896;0.000000
1723.400896;0.000000
1728.919896;0.000000
1734.438896;0.000000
1739.957896;0.000000
1745.476896;0.000000
1750.995896;0.000000
1756.514896;0.000000
1762.033896;0.000000
1767.552896;0.000000
1773.071896;0.000000
1778.590896;0.000000
1784.109896;0.000000
1789.628896;0.000000
1795.147896;0.000000
1800.666896;0.000000
1806.185896;0.000000
1811.704896;0.000000
1817.223896;0.000000
1822.742896;0.000000
1828.261896;0.000000
1833.780896;0.000000
1839.299896;0.000000
1844.818896;0.000000
1850.337896;0.000000
1855.856896;0.000000
1861.375896;0.000000
1866.894896;0.000000
1872.413896;0.000000
1877.932896;0.000000
1883.451896;0.000000
1888.970896;0.000000
1894.489896;0.000000
1900.008896;0.000000
1905.527896;0.000000
1911.046896;0.000000
1916.565896;0.000000
1922.084896;0.000000
1927.603896;0.000000
1933.122896;0.000000
1938.641896;0.000000
1944.160896;0.000000
1949.679896;0.000000
1955.198896;0.000000
1960.717896;0.000000
1966.236896;0.000000
1971.755896;0.000000
1977.274896;0.000000
1982.793896;0.000000
1988.312896;0.000000
1993.831896;0.000000
1999.350896;0.000000
2004.869896;0.000000
2010.388896;0.000000
2015.907896;0.000000
2021.426896;0.000000
2026.945896;0.000000
2032.464896;0.000000
2037.983896;0.000000
2043.502896;0.000000
2049.021896;0.000000
2054.540896;0.000000
2060.059896;0.000000
2065.578896;0.000000
2071.097896;0.000000
2076.616896;0.000000
2082.135896;0.000000
2087.654896;0.000000
2093.173896;0.000000
2098.692896;0.000000
2104.211896;0.000000
2109.730896;0.000000
2115.249896;0.000000
2120.768896;0.000000
2126.287896;0.000000
2131.806896;0.000000
2137.325896;0.000000
2142.844896;0.000000
2148.363896;0.000000
2153.882896;0.000000
2159.401896;0.000000
2164.920896;0.000000
2170.439896;0.000000
2175.958896;0.000000
2181.477896;0.000000
2186.996896;0.000000
2192.515896;0.000000
2198.034896;0.000000
2203.553896;0.000000
2209.072896;0.000000
2214.591896;0.000000
2220.110896;0.000000
2225.629896;0.000000
2231.148896;0.000000
2236.667896;0.000000
2242.186896;0.000000
2247.705896;0.000000
2253.224896;0.000000
2258.743896;0.000000
2264.262896;0.000000
2269.781896;0.000000
2275.300896;0.000000
2280.819896;0.000000
2286.338896;0.000000
2291.857896;0.000000
2297.376896;0.000000
2302.895896;0.000000
2308.414896;0.000000
2313.933896;0.000000
2319.452896;0.000000
2324.971896;0.000000
2330.490896;0.000000
2336.009896;0.000000
2341.528896;0.000000
2347.047896;0.000000
2352.566896;0.000000
2358.085896;0.000000
2363.604896;0.000000
2369.123896;0.000000
2374.642896;0.000000
2380.161896;0.000000
2385.680896;0.000000
2391.199896;0.000000
2396.718896;0.000000
2402.237896;0.000000
2407.756896;0.000000
2413.275896;0.000000
2418.794896;0.000000
2424.313896;0.000000
2429.832896;0.000000
2435.351896;0.000000
2440.870896;0.000000
2446.389896;0.000000
2451.908896;0.000000
2457.427896;0.000000
2462.946896;0.000000
2468.465896;0.000000
2473.984896;0.000000
2479.503896;0.000000
2485.022896;0.000000
2490.541896;0.000000
2496.060896;0.000000
2501.579896;0.000000
2507.098896;0.000000
2512.617896;0.000000
2518.136896;0.000000
2523.655896;0.000000
2529.174896;0.000000
2534.693896;0.000000
2540.212896;0.000000
2545.731896;0.000000
2551.250896;0.000000
2556.769896;0.000000
2562.288896;0.000000
2567.807896;0.000000
2573.326896;0.000000
2578.845896;0.000000
2584.364896;0.000000
2589.883896;0.000000
2595.402896;0.000000
2600.921896;0.000000
2606.440896;0.000000
2611.959896;0.000000
2617.478896;0.000000
2622.997896;0.000000
2628.516896;0.000000
2634.035896;0.000000
2639.554896;0.000000
2645.073896;0.000000
2650.592896;0.000000
2656.111896;0.000000
2661.630896;0.000000
2667.149896;0.000000
2672.668896;0.000000
2678.187896;0.000000
2683.706896;0.000000
2689.225896;0.000000
2694.744896;0.000000
2700.263896;0.000000
2705.782896;0.000000
2711.301896;0.000000
2716.820896;0.000000
2722.339896;0.000000
2727.858896;0.000000
2733.377896;0.000000
2738.896896;0.000000
2744.415896;0.000000
2749.934896;0.000000
2755.453896;0.000000
2760.972896;0.000000
2766.491896;0.000000
2772.010896;0.000000
2777.529896;0.000000
2783.048896;0.000000
2788.567896;0.000000
2794.086896;0.000000
2799.605896;0.000000
2805.124896;0.000000
2810.643896;0.000000
2816.162896;0.000000
2821.681896;0.000000
2827.200896;0.000000
2832.719896;0.000000
2838.238896;0.000000
2843.757896;0.000000
2849.276896;0.000000
2854.795896;0.000000
2860.314896;0.000000
2865.833896;0.000000
2871.352896;0.000000
2876.871896;0.000000
2882.390896;0.000000
2887.909896;0.000000
2893.428896;0.000000
2898.947896;0.000000
2904.466896;0.000000
2909.985896;0.000000
2915.504896;0.000000
2921.023896;0.000000
2926.542896;0.000000
2932.061896;0.000000
2937.580896;0.000000
2943.099896;0.000000
2948.618896;0.000000
2954.137896;0.000000
2959.656896;0.000000
2965.175896;0.000000
2970.694896;0.000000
2976.213896;0.000000
2981.732896;0.000000
2987.251896;0.000000
2992.770896;0.000000
2998.289896;0.000000
3003.808896;0.000000
3009.327896;0.000000
3014.846896;0.000000
3020.365896;0.000000
3025.884896;0.000000
3031.403896;0.000000
3036.922896;0.000000
3042.441896;0.000000
3047.960896;0.000000
3053.479896;0.000000
3058.998896;0.000000
3064.517896;0.000000
3070.036896;0.000000
3075.555896;0.000000
3081.074896;0.000000
3086.593896;0.000000
3092.112896;0.000000
3097.631896;0.000000
3103.150896;0.000000
3108.669896;0.000000
3114.188896;0.000000
3119.707896;0.000000
3125.226896;0.000000
3130.745896;0.000000
3136.264896;0.000000
3141.783896;0.000000
3147.302896;0.000000
3152.821896;0.000000
3158.340896;0.000000
3163.859896;0.000000
3169.378896;0.000000
3174.897896;0.000000
3180.416896;0.000000
3185.935896;0.000000
3191.454896;0.000000
3196.973896;0.000000
3202.492896;0.000000
3208.011896;0.000000
3213.530896;0.000000
3219.049896;0.000000
3224.568896;0.000000
3230.087896;0.000000
3235.606896;0.000000
3241.125896;0.000000
3246.644896;0.000000
3252.163896;0.000000
3257.682896;0.000000
3263.201896;0.000000
3268.720896;0.000000
3274.239896;0.000000
3279.758896;0.000000
3285.277896;0.000000
3290.796896;0.000000
3296.315896;0.000000
3301.834896;0.000000
3307.353896;0.000000
3312.872896;0.000000
3318.391896;0.000000
3323.910896;0.000000
3329.429896;0.000000
3334.948896;0.000000
3340.467896;0.000000
3345.986896;0.000000
3351.505896;0.000000
3357.024896;0.000000
3362.543896;0.000000
3368.062896;0.000000
3373.581896;0.000000
3379.100896;0.000000
3384.619896;0.000000
3390.138896;0.000000
3395.657896;0.000000
3401.176896;0.000000
3406.695896;0.000000
3412.214896;0.000000
3417.733896;0.000000
3423.252896;0.000000
3428.771896;0.000000
3434.290896;0.000000
3439.809896;0.000000
3445.328896;0.000000
3450.847896;0.000000
3456.366896;0.000000
3461.885896;0.000000
3467.404896;0.000000
